Illness Name,Fever,Chills,Cough,Sore Throat,Runny Nose,Headache,Muscle Pain,Joint Pain,Fatigue,Skin Rash,Abdominal Pain,Nausea,Vomiting,Diarrhea,Jaundice,Chest Pain,Difficulty Breathing,Red Eyes,Sweating,Weight Loss,Night Sweats
Stress,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Stress,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1
Tonsillitis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tonsillitis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Tuberculosis,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Tuberculosis,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Tuberculosis,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Tuberculosis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Typhoid Fever,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Typhoid Fever,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
Typhoid Fever,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
